case_id,map_size,structure_type,seed,obstacle_rate,grid_sha256,start,goal,optimal_cost,algorithm,path_found,path_cost,path_cost_gap,optimal,expanded_nodes,unet_call_count,unet_scored_node_count,cache_hit_count,cache_hit_rate,cached_region_count,patch_extraction_seconds,cache_lookup_seconds,unet_inference_seconds,full_map_inference_seconds,astar_search_seconds,total_runtime_seconds,status,failure_reason
size500_bottleneck_seed520480815,500,bottleneck,520480815,0.3,8cbbd3284dbd42a1ec58035d711dee521c1bf26944c4d1958d2a46d1a677659d,"378,376","265,209",696,region_cache_patch_64,True,696,0,True,102271,95,102381,102286,0.9990720934548403,95,0.631754325999907,0.02226959900369252,0.04781308802962301,0.0,0.27920676496679175,0.9810437780000143,completed,
size500_bottleneck_seed520480816,500,bottleneck,520480816,0.4,bd0f92a43efa4f29218204612ebe8ed95a0b36c626ff04f188c2024d3aa930a9,"69,236","143,384",360,manhattan_astar,True,360,0,True,18951,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.021806605000023183,0.021806605000023183,completed,
size500_bottleneck_seed520480816,500,bottleneck,520480816,0.4,bd0f92a43efa4f29218204612ebe8ed95a0b36c626ff04f188c2024d3aa930a9,"69,236","143,384",360,full_map_unet_tiebreak,True,360,0,True,14034,1,0,0,0.0,0,0.0,0.0,0.0,0.005183487892150879,0.04508058099997925,0.05026406889213013,completed,
size500_bottleneck_seed520480816,500,bottleneck,520480816,0.4,bd0f92a43efa4f29218204612ebe8ed95a0b36c626ff04f188c2024d3aa930a9,"69,236","143,384",360,region_cache_patch_32,True,360,0,True,12184,51,12327,12276,0.9958627403261134,51,0.0981055140000251,0.0018958700023574693,0.029939968049526224,0.0,0.05827557294809729,0.18821692500000609,completed,
size500_bottleneck_seed520480816,500,bottleneck,520480816,0.4,bd0f92a43efa4f29218204612ebe8ed95a0b36c626ff04f188c2024d3aa930a9,"69,236","143,384",360,region_cache_patch_64,True,360,0,True,14155,19,14406,14387,0.9986811050950992,19,0.12541716599989172,0.002307068998675277,0.015414943903684617,0.0,0.03749541009774157,0.18063458899999318,completed,
size500_bottleneck_seed520480817,500,bottleneck,520480817,0.1,829ae516201a3757231302c813fd4302cc38232ae635202775dedef1c30a0263,"37,141","405,45",464,manhattan_astar,True,464,0,True,34306,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.043977383999987296,0.043977383999987296,completed,
size500_bottleneck_seed520480817,500,bottleneck,520480817,0.1,829ae516201a3757231302c813fd4302cc38232ae635202775dedef1c30a0263,"37,141","405,45",464,full_map_unet_tiebreak,True,464,0,True,11257,1,0,0,0.0,0,0.0,0.0,0.0,0.01225830364227295,0.05569374600000288,0.06795204964227583,completed,
size500_bottleneck_seed520480817,500,bottleneck,520480817,0.1,829ae516201a3757231302c813fd4302cc38232ae635202775dedef1c30a0263,"37,141","405,45",464,region_cache_patch_32,True,464,0,True,720,28,981,953,0.9714576962283384,28,0.062419548999969265,0.00010568700002977494,0.0366366720199585,0.0,0.022346696980044947,0.12150860500000249,completed,
size500_bottleneck_seed520480817,500,bottleneck,520480817,0.1,829ae516201a3757231302c813fd4302cc38232ae635202775dedef1c30a0263,"37,141","405,45",464,region_cache_patch_64,True,464,0,True,16337,24,18014,17990,0.9986677028977462,24,0.15534053100003575,0.0026717219994623065,0.01002182391285896,0.0,0.04633427808764782,0.21436835500000484,completed,
size500_bottleneck_seed520480818,500,bottleneck,520480818,0.2,03a65723dd317e582fb058a8a690fbcac1996b0e85d80136fce0fa8fc3038fdb,"376,155","464,351",454,manhattan_astar,True,454,0,True,49911,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.060707946999997375,0.060707946999997375,completed,
