map_size,structure_type,algorithm,component,completed_cases,mean_seconds,fraction_of_total
500,maze_like,region_cache_patch_32,astar_search,50,0.00046624993756508954,0.23777956802731592
500,maze_like,region_cache_patch_32,neural_inference,50,0.00039288320243358613,0.2003637762349406
500,maze_like,region_cache_patch_32,patch_extraction,50,0.0011010154999996757,0.5614992494122413
500,maze_like,region_cache_patch_32,cache_lookup,50,7.008200003610909e-07,0.0003574063255021888
500,maze_like,region_cache_patch_64,astar_search,50,0.00045364144041756387,0.09362381271097332
500,maze_like,region_cache_patch_64,neural_inference,50,0.0003500627195835113,0.0722469412521328
500,maze_like,region_cache_patch_64,patch_extraction,50,0.004040862140000172,0.8339646392049312
500,maze_like,region_cache_patch_64,cache_lookup,50,7.975799979931253e-07,0.00016460683196269058
500,narrow_corridor,full_map_unet_tiebreak,astar_search,50,0.06159455257999923,0.7168176645613795
500,narrow_corridor,full_map_unet_tiebreak,neural_inference,50,0.024333230209350586,0.28318233543862054
500,narrow_corridor,full_map_unet_tiebreak,patch_extraction,50,0.0,0.0
500,narrow_corridor,full_map_unet_tiebreak,cache_lookup,50,0.0,0.0
500,narrow_corridor,manhattan_astar,astar_search,50,0.029218320079999673,1.0
500,narrow_corridor,manhattan_astar,neural_inference,50,0.0,0.0
500,narrow_corridor,manhattan_astar,patch_extraction,50,0.0,0.0
500,narrow_corridor,manhattan_astar,cache_lookup,50,0.0,0.0
500,narrow_corridor,region_cache_patch_32,astar_search,50,0.12173350215718344,0.25151208730573416
500,narrow_corridor,region_cache_patch_32,neural_inference,50,0.15114141690254215,0.3122714172341863
500,narrow_corridor,region_cache_patch_32,patch_extraction,50,0.2087649882600357,0.43132676726774233
500,narrow_corridor,region_cache_patch_32,cache_lookup,50,0.002366660560239211,0.004889728192337208
500,narrow_corridor,region_cache_patch_64,astar_search,50,0.056598961085870085,0.21790649674941615
500,narrow_corridor,region_cache_patch_64,neural_inference,50,0.04808978435397148,0.1851460916766705
500,narrow_corridor,region_cache_patch_64,patch_extraction,50,0.1527441387599947,0.5880662743208281
500,narrow_corridor,region_cache_patch_64,cache_lookup,50,0.0023067836401577326,0.008881137253085146
500,open_random,full_map_unet_tiebreak,astar_search,50,0.035968661299999385,0.7627243044466869
500,open_random,full_map_unet_tiebreak,neural_inference,50,0.011189481019973755,0.23727569555331307
500,open_random,full_map_unet_tiebreak,patch_extraction,50,0.0,0.0
500,open_random,full_map_unet_tiebreak,cache_lookup,50,0.0,0.0
500,open_random,manhattan_astar,astar_search,50,0.019646703759998444,1.0
500,open_random,manhattan_astar,neural_inference,50,0.0,0.0
500,open_random,manhattan_astar,patch_extraction,50,0.0,0.0
500,open_random,manhattan_astar,cache_lookup,50,0.0,0.0
500,open_random,region_cache_patch_32,astar_search,50,0.04979824224167065,0.26126991211638445
500,open_random,region_cache_patch_32,neural_inference,50,0.034772806398272516,0.18243792677715048
500,open_random,region_cache_patch_32,patch_extraction,50,0.10433976741998918,0.5474257852670347
500,open_random,region_cache_patch_32,cache_lookup,50,0.0016899379200654607,0.00886637583943035
500,open_random,region_cache_patch_64,astar_search,50,0.03012602790015599,0.20184501586477252
500,open_random,region_cache_patch_64,neural_inference,50,0.012246286079883578,0.08205037239794379
500,open_random,region_cache_patch_64,patch_extraction,50,0.10509245255999958,0.7041216261414646
500,open_random,region_cache_patch_64,cache_lookup,50,0.0017884997399622194,0.011982985595819172
