seed,map_size,obstacle_rate,map_mode,structured_type,start_goal_mode,start_row,start_col,goal_row,goal_col,heuristic,path_found,optimal,optimal_cost,path_length,expanded_nodes,runtime_seconds,skip_reason,mae,mse,rmse,underestimate_rate,overestimate_rate,large_underestimate_rate,large_overestimate_rate,max_overestimate
1,20,0.2,structured,narrow_corridor,random,2,17,8,3,mlp_table,True,True,20,20,32,0.00019879200044670142,,1.1078720428411244,1.6692721163307411,1.2920031409910508,0.2766990291262136,0.7184466019417476,0.0,0.014563106796116505,3.4921436309814453
1,20,0.2,structured,narrow_corridor,random,2,17,8,3,unet,True,True,20,20,65,0.00033762500243028626,,2.335275926780932,9.558677689087927,3.091711126397149,0.08737864077669903,0.912621359223301,0.0,0.28640776699029125,9.020170211791992
2,20,0.2,structured,narrow_corridor,random,4,15,5,14,dijkstra,True,True,2,2,11,2.9209000786067918e-05,,11.383495145631068,167.86893203883494,12.956424353919369,0.9951456310679612,0.0,0.8883495145631068,0.0,0.0
2,20,0.2,structured,narrow_corridor,random,4,15,5,14,manhattan,True,True,2,2,4,1.3207998563302681e-05,,0.07766990291262135,0.1553398058252427,0.3941317112657172,0.038834951456310676,0.0,0.0,0.0,0.0
2,20,0.2,structured,narrow_corridor,random,4,15,5,14,mlp_table,True,True,2,2,3,2.9584000003524125e-05,,1.084767641373051,1.8404050295267527,1.3566152842743415,0.009708737864077669,0.9854368932038835,0.0,0.02912621359223301,3.9508190155029297
2,20,0.2,structured,narrow_corridor,random,4,15,5,14,unet,True,True,2,2,3,2.654200216056779e-05,,3.012416910343957,16.51367152457142,4.063701702213319,0.1941747572815534,0.8058252427184466,0.0,0.4029126213592233,12.566577911376953
0,20,0.2,structured,bottleneck,random,11,1,6,12,dijkstra,True,True,24,24,282,0.0005883750018256251,,16.397333333333332,344.7493333333333,18.567426675049326,0.9973333333333333,0.0,0.944,0.0,0.0
0,20,0.2,structured,bottleneck,random,11,1,6,12,manhattan,True,True,24,24,157,0.0003893749999406282,,5.28,83.56266666666667,9.14126176556971,0.39466666666666667,0.0,0.368,0.0,0.0
0,20,0.2,structured,bottleneck,random,11,1,6,12,mlp_table,True,True,24,24,148,0.0007320410004467703,,5.439304792404175,73.32209817140598,8.562832368521878,0.4,0.5973333333333334,0.368,0.010666666666666666,3.573324203491211
0,20,0.2,structured,bottleneck,random,11,1,6,12,unet,True,True,24,24,152,0.0007808340014889836,,5.539407354354858,76.92907197938035,8.770921957204974,0.6453333333333333,0.352,0.3626666666666667,0.005333333333333333,3.3612022399902344
1,20,0.2,structured,bottleneck,random,2,1,9,0,dijkstra,True,True,8,8,67,0.00014191700029186904,,16.24266666666667,328.87733333333335,18.13497541584585,0.9973333333333333,0.0,0.9573333333333334,0.0,0.0
1,20,0.2,structured,bottleneck,random,2,1,9,0,manhattan,True,True,8,8,16,4.308300049160607e-05,,1.7493333333333334,9.92,3.1496031496047245,0.33066666666666666,0.0,0.2853333333333333,0.0,0.0
1,20,0.2,structured,bottleneck,random,2,1,9,0,mlp_table,True,True,8,8,9,0.0002869589989131782,,1.76420725440979,5.923892697091875,2.4339048249863584,0.30666666666666664,0.6906666666666667,0.20533333333333334,0.0026666666666666666,3.0135278701782227
1,20,0.2,structured,bottleneck,random,2,1,9,0,unet,True,True,8,8,13,9.837499965215102e-05,,2.02205170806249,9.198210416649315,3.0328551591939426,0.728,0.272,0.24266666666666667,0.016,4.25767707824707
2,20,0.2,structured,bottleneck,random,4,12,6,7,dijkstra,True,True,7,7,87,0.00018983300105901435,,12.537234042553191,195.29255319148936,13.97471120243597,0.9973404255319149,0.0,0.9441489361702128,0.0,0.0
2,20,0.2,structured,bottleneck,random,4,12,6,7,manhattan,True,True,7,7,16,4.454200097825378e-05,,1.5265957446808511,6.095744680851064,2.4689561925743164,0.39095744680851063,0.0,0.36436170212765956,0.0,0.0
2,20,0.2,structured,bottleneck,random,4,12,6,7,mlp_table,True,True,7,7,8,6.874999962747097e-05,,1.7583251754020124,4.7345008833743005,2.175890825242457,0.38563829787234044,0.6117021276595744,0.27925531914893614,0.010638297872340425,3.573324203491211
2,20,0.2,structured,bottleneck,random,4,12,6,7,unet,True,True,7,7,9,7.099999857018702e-05,,1.5759071929459558,3.895000389903207,1.973575534379976,0.6276595744680851,0.3723404255319149,0.18882978723404256,0.010638297872340425,3.2888259887695312
0,20,0.2,structured,maze_like,random,13,13,8,1,dijkstra,True,True,31,31,239,0.00047695800094516017,,22.214285714285715,604.7428571428571,24.59152002505858,0.9964285714285714,0.0,0.9571428571428572,0.0,0.0
0,20,0.2,structured,maze_like,random,13,13,8,1,manhattan,True,True,31,31,136,0.0002956669995910488,,7.385714285714286,98.37142857142857,9.918237170557505,0.9,0.0,0.6428571428571429,0.0,0.0
0,20,0.2,structured,maze_like,random,13,13,8,1,mlp_table,True,True,31,31,120,0.0005732919998990837,,6.395014322229794,74.84339630365223,8.651207794502003,0.8642857142857143,0.13214285714285715,0.6392857142857142,0.0,2.4467906951904297
0,20,0.2,structured,maze_like,random,13,13,8,1,unet,True,True,31,31,130,0.0005973750012344681,,5.144017003050872,54.440287201751175,7.378366160726315,0.7464285714285714,0.25,0.46785714285714286,0.03214285714285714,4.38261604309082
1,20,0.2,structured,maze_like,random,0,19,17,9,dijkstra,True,True,31,31,240,0.0004968749999534339,,22.59515570934256,623.7508650519031,24.975004805843444,0.9965397923875432,0.0,0.9480968858131488,0.0,0.0
1,20,0.2,structured,maze_like,random,0,19,17,9,manhattan,True,True,31,31,172,0.00040491699837730266,,9.190311418685122,156.59515570934255,12.51379861230564,0.889273356401384,0.0,0.8442906574394463,0.0,0.0
1,20,0.2,structured,maze_like,random,0,19,17,9,mlp_table,True,True,31,31,152,0.0007027500032563694,,8.201033723395588,131.04945991262,11.44768360466955,0.8858131487889274,0.11072664359861592,0.7370242214532872,0.0,1.663132667541504
1,20,0.2,structured,maze_like,random,0,19,17,9,unet,True,True,31,31,137,0.0007126669988792855,,6.484272883837611,93.41385165070629,9.665084151248053,0.8719723183391004,0.1245674740484429,0.45674740484429066,0.0,2.601612091064453
2,20,0.2,structured,maze_like,random,7,9,5,16,dijkstra,True,True,39,39,199,0.0003896670023095794,,23.71785714285714,680.025,26.077288969522886,0.9964285714285714,0.0,0.9642857142857143,0.0,0.0
2,20,0.2,structured,maze_like,random,7,9,5,16,manhattan,True,True,39,39,121,0.00026729199817054905,,10.15,158.27142857142857,12.580597305828867,0.8857142857142857,0.0,0.8392857142857143,0.0,0.0
2,20,0.2,structured,maze_like,random,7,9,5,16,mlp_table,True,True,39,39,96,0.00045400000090012327,,9.139828239594188,134.54500080145763,11.599353464803874,0.8821428571428571,0.11428571428571428,0.7821428571428571,0.0,1.7176666259765625
2,20,0.2,structured,maze_like,random,7,9,5,16,unet,True,True,39,39,102,0.0004567500000121072,,6.176668959430286,73.54155489686218,8.575637288088984,0.8035714285714286,0.19642857142857142,0.5928571428571429,0.02857142857142857,4.36231803894043
0,20,0.2,structured,large_block,random,11,13,7,10,dijkstra,True,True,7,7,91,0.00020600000061676838,,10.706666666666667,133.48,11.553354491228943,0.9973333333333333,0.0,0.9493333333333334,0.0,0.0
0,20,0.2,structured,large_block,random,11,13,7,10,manhattan,True,True,7,7,20,5.4874999477760866e-05,,0.05333333333333334,0.10666666666666667,0.32659863237109044,0.02666666666666667,0.0,0.0,0.0,0.0
0,20,0.2,structured,large_block,random,11,13,7,10,mlp_table,True,True,7,7,8,7.03330006217584e-05,,0.8921415980656942,1.1846321042132963,1.0884080596050805,0.024,0.9733333333333334,0.0,0.010666666666666666,3.3867263793945312
