seed,map_size,obstacle_rate,start_goal_mode,start_row,start_col,goal_row,goal_col,heuristic,path_found,optimal,optimal_cost,path_length,expanded_nodes,runtime_seconds,skip_reason,mae,mse,rmse,underestimate_rate,overestimate_rate,large_underestimate_rate,large_overestimate_rate,max_overestimate
5,20,0.1,random,13,1,2,1,unet,True,True,11,11,12,0.00010162499893340282,,0.9905901720484208,2.4595467088678444,1.5682942035434055,0.4404432132963989,0.556786703601108,0.036011080332409975,0.024930747922437674,5.249841690063477
6,20,0.1,random,19,8,16,7,dijkstra,True,True,4,4,15,3.379200097697321e-05,,13.019607843137255,206.94117647058823,14.38545016572607,0.9971988795518207,0.0,0.9495798319327731,0.0,0.0
6,20,0.1,random,19,8,16,7,manhattan,True,True,4,4,7,1.8415999875287525e-05,,0.41456582633053224,1.3445378151260505,1.159542071304897,0.14285714285714285,0.0,0.06442577030812324,0.0,0.0
6,20,0.1,random,19,8,16,7,mlp_table,True,True,4,4,5,3.991700032202061e-05,,0.8602210196460328,1.134607696985549,1.0651796547932884,0.1092436974789916,0.8879551820728291,0.0,0.008403361344537815,3.716862678527832
6,20,0.1,random,19,8,16,7,unet,True,True,4,4,5,3.737500082934275e-05,,0.6467524548830772,0.7847897565045137,0.8858836021196654,0.5070028011204482,0.49299719887955185,0.0,0.0,2.455677032470703
7,20,0.1,random,6,3,13,12,dijkstra,True,True,16,16,238,0.0005161669996596174,,10.915730337078651,145.1573033707865,12.04812447523624,0.9971910112359551,0.0,0.9382022471910112,0.0,0.0
7,20,0.1,random,6,3,13,12,manhattan,True,True,16,16,63,0.0001629999987926567,,0.08426966292134831,0.16853932584269662,0.41053541362798,0.042134831460674156,0.0,0.0,0.0,0.0
7,20,0.1,random,6,3,13,12,mlp_table,True,True,16,16,17,0.00013162499999452848,,0.8906573298272122,1.1766012523612561,1.0847125206068455,0.019662921348314606,0.9775280898876404,0.0,0.008426966292134831,3.716862678527832
7,20,0.1,random,6,3,13,12,unet,True,True,16,16,49,0.000326750001477194,,0.5579902024081583,0.49985402416311714,0.7070035531474486,0.5252808988764045,0.4747191011235955,0.0,0.0,2.9362869262695312
8,20,0.1,random,19,2,8,1,dijkstra,True,True,12,12,93,0.00019220899957872462,,13.73224043715847,228.672131147541,15.121908978285148,0.9972677595628415,0.0,0.9508196721311475,0.0,0.0
8,20,0.1,random,19,2,8,1,manhattan,True,True,12,12,22,5.9500000133994035e-05,,0.09289617486338798,0.18579234972677597,0.43103636705825177,0.04644808743169399,0.0,0.0,0.0,0.0
8,20,0.1,random,19,2,8,1,mlp_table,True,True,12,12,13,0.00011058299969590735,,1.137559771863489,2.2047577474568407,1.4848426675768853,0.030054644808743168,0.9672131147540983,0.0,0.06557377049180328,5.153474807739258
8,20,0.1,random,19,2,8,1,unet,True,True,12,12,14,0.00011525000081746839,,0.922655046311884,1.3710991594168889,1.170939434563927,0.6147540983606558,0.3825136612021858,0.0,0.01912568306010929,4.386470794677734
9,20,0.1,random,4,4,15,14,dijkstra,True,True,21,21,301,0.0007045419988571666,,12.527377521613833,197.835734870317,14.065409161141279,0.9971181556195965,0.0,0.9279538904899135,0.0,0.0
9,20,0.1,random,4,4,15,14,manhattan,True,True,21,21,86,0.00020845899962296244,,0.2017291066282421,0.4265129682997118,0.6530796033407503,0.09798270893371758,0.0,0.002881844380403458,0.0,0.0
9,20,0.1,random,4,4,15,14,mlp_table,True,True,21,21,33,0.0002129580007022014,,0.8720824361191015,1.1604601544118955,1.0772465615688431,0.02881844380403458,0.968299711815562,0.0,0.011527377521613832,3.2625961303710938
9,20,0.1,random,4,4,15,14,unet,True,True,21,21,76,0.00042991699956473894,,0.6722104618116483,0.7565971072253652,0.8698259062739884,0.5389048991354467,0.4610951008645533,0.005763688760806916,0.0,2.9708595275878906
10,20,0.1,random,18,5,12,8,dijkstra,True,True,9,9,79,0.00016850000065460335,,10.749295774647887,136.3830985915493,11.678317455504851,0.9971830985915493,0.0,0.9436619718309859,0.0,0.0
10,20,0.1,random,18,5,12,8,manhattan,True,True,9,9,22,5.8166000599157996e-05,,0.24788732394366197,0.676056338028169,0.822226451793038,0.10422535211267606,0.0,0.016901408450704224,0.0,0.0
10,20,0.1,random,18,5,12,8,mlp_table,True,True,9,9,10,7.833299969206564e-05,,0.8048156120407749,0.9754573738443728,0.9876524560007801,0.08169014084507042,0.9154929577464789,0.005633802816901409,0.005633802816901409,3.482907295227051
10,20,0.1,random,18,5,12,8,unet,True,True,9,9,14,9.245900037058163e-05,,0.6275633039608808,0.6361214484568205,0.7975722214676364,0.36338028169014086,0.6366197183098592,0.0,0.0,2.54427433013916
11,20,0.1,random,14,19,10,4,dijkstra,True,True,19,19,246,0.0005129580003995216,,12.369444444444444,185.29722222222222,13.612392229958047,0.9972222222222222,0.0,0.9611111111111111,0.0,0.0
11,20,0.1,random,14,19,10,4,manhattan,True,True,19,19,74,0.00017762500101525802,,0.8833333333333333,1.8111111111111111,1.3457752825457567,0.4361111111111111,0.0,0.005555555555555556,0.0,0.0
11,20,0.1,random,14,19,10,4,mlp_table,True,True,19,19,20,0.00016191699978662655,,1.0397809422678417,1.4644296801882033,1.2101362238145768,0.3611111111111111,0.6361111111111111,0.005555555555555556,0.008333333333333333,3.4921436309814453
