seed,map_size,obstacle_rate,heuristic,path_found,optimal,optimal_cost,path_length,expanded_nodes,runtime_seconds,mae,mse,rmse,underestimate_rate,overestimate_rate,large_underestimate_rate,large_overestimate_rate,max_overestimate
6,20,0.2,unet,True,False,44,48,148,0.0007045419988571666,4.067706591510153,26.685245594234672,5.165776378651584,0.2922077922077922,0.7077922077922078,0.20454545454545456,0.3246753246753247,11.471920013427734
7,20,0.2,dijkstra,True,True,38,38,304,0.0006318750001810258,20.230263157894736,466.5921052631579,21.60074316460334,0.9967105263157895,0.0,0.9802631578947368,0.0,0.0
7,20,0.2,manhattan,True,True,38,38,222,0.0006508330006909091,1.5789473684210527,7.394736842105263,2.7193265420146333,0.4506578947368421,0.0,0.2236842105263158,0.0,0.0
7,20,0.2,mlp_table,True,True,38,38,145,0.0010630830001900904,1.0152494958356808,2.632912652757871,1.622625234845641,0.39144736842105265,0.6052631578947368,0.08223684210526316,0.0,1.4295825958251953
7,20,0.2,unet,True,True,38,38,68,0.0003857079991576029,3.5840925872325897,19.608577803263252,4.428157382395442,0.09210526315789473,0.9078947368421053,0.01644736842105263,0.4407894736842105,12.625579833984375
8,20,0.2,dijkstra,True,True,38,38,326,0.0006676670000160811,19.334355828220858,443.82515337423314,21.067158170342605,0.9969325153374233,0.0,0.9723926380368099,0.0,0.0
8,20,0.2,manhattan,True,True,38,38,186,0.00044012499893142376,0.4785276073619632,2.085889570552147,1.444260908060641,0.15337423312883436,0.0,0.046012269938650305,0.0,0.0
8,20,0.2,mlp_table,True,True,38,38,97,0.0005171669999981532,1.1269214464111563,2.6414714017694307,1.6252604104479476,0.12576687116564417,0.8711656441717791,0.03680981595092025,0.049079754601226995,4.437534332275391
8,20,0.2,unet,True,True,38,38,131,0.0007239170008688234,1.780237528444068,5.815728699425916,2.4115821983556596,0.3987730061349693,0.6012269938650306,0.04294478527607362,0.147239263803681,8.699857711791992
9,20,0.2,dijkstra,True,True,38,38,290,0.0006274999996094266,19.7,452.8724137931035,21.2807991812597,0.996551724137931,0.0,0.9724137931034482,0.0,0.0
9,20,0.2,manhattan,True,True,38,38,166,0.0004039590003230842,1.282758620689655,6.758620689655173,2.599734734478726,0.31724137931034485,0.0,0.1793103448275862,0.0,0.0
9,20,0.2,mlp_table,True,True,38,38,100,0.0005294580005283933,1.0273813202463347,2.3962934161625142,1.5479965814440657,0.2655172413793103,0.7310344827586207,0.09310344827586207,0.0,1.9600563049316406
9,20,0.2,unet,True,True,38,38,149,0.0007988750003278255,1.2805459236276562,2.6368326540678617,1.6238327050739745,0.6379310344827587,0.3620689655172414,0.03793103448275862,0.03793103448275862,4.795648574829102
10,20,0.2,dijkstra,True,True,38,38,312,0.0006249999987630872,19.871794871794872,459.20512820512823,21.42907203322459,0.9967948717948718,0.0,0.9743589743589743,0.0,0.0
10,20,0.2,manhattan,True,True,38,38,227,0.0005196670008444926,0.6282051282051282,3.0,1.7320508075688772,0.16025641025641027,0.0,0.09294871794871795,0.0,0.0
10,20,0.2,mlp_table,True,True,38,38,123,0.0006300829991232604,1.045460839684193,2.2925764008339327,1.5141256225405912,0.1858974358974359,0.8108974358974359,0.016025641025641024,0.057692307692307696,5.396686553955078
10,20,0.2,unet,True,True,38,38,129,0.0006620000003749738,7.355196073269233,76.89433200697496,8.768941327604773,0.060897435897435896,0.9391025641025641,0.003205128205128205,0.8493589743589743,18.969112396240234
11,20,0.2,dijkstra,True,True,38,38,320,0.000780917000156478,19.9375,462.475,21.505231921558067,0.996875,0.0,0.9875,0.0,0.0
11,20,0.2,manhattan,True,True,38,38,188,0.0004454580011952203,1.1375,4.05,2.0124611797498106,0.390625,0.0,0.1375,0.0,0.0
11,20,0.2,mlp_table,True,True,38,38,101,0.0006863750004413305,0.9780576609075069,1.935930269602197,1.3913771126485432,0.315625,0.68125,0.04375,0.00625,3.187826156616211
11,20,0.2,unet,True,True,38,38,127,0.0009610000015527476,3.6001932583749294,20.95434490955152,4.577591605806652,0.059375,0.940625,0.003125,0.471875,12.741893768310547
12,20,0.2,dijkstra,True,True,38,38,329,0.0006722500002069864,19.310030395136778,438.629179331307,20.94347581781274,0.9969604863221885,0.0,0.9696048632218845,0.0,0.0
12,20,0.2,manhattan,True,True,38,38,218,0.0005010839995520655,0.6139817629179332,2.3951367781155017,1.5476229444265492,0.19756838905775076,0.0,0.0729483282674772,0.0,0.0
12,20,0.2,mlp_table,True,True,38,38,117,0.0006053329998394474,0.8194447306514149,1.14979195891012,1.0722835254307137,0.1276595744680851,0.8693009118541033,0.0121580547112462,0.0,2.8137683868408203
12,20,0.2,unet,True,True,38,38,142,0.0007962500003486639,1.4380838856508666,3.5813204670268965,1.892437704926346,0.45288753799392095,0.547112462006079,0.00303951367781155,0.12462006079027356,6.69842529296875
