scope,map_size,structure_type,algorithm,cases,mean_expanded_nodes,median_expanded_nodes,optimality_rate,mean_path_cost_gap,mean_astar_search_seconds,mean_total_runtime_seconds,mean_expanded_nodes_saved_vs_manhattan,expansion_reduction_fraction_vs_manhattan,total_runtime_overhead_seconds_vs_manhattan,total_runtime_overhead_fraction_vs_manhattan,total_runtime_multiplier_vs_manhattan,astar_search_overhead_seconds_vs_manhattan,astar_search_multiplier_vs_manhattan
map_size_structure,100,maze_like,full_map_unet_tiebreak,100,58.45,4.0,1.0,0.0,0.00046827962025417945,0.0457362871406076,10.769999999999996,0.15559086969084074,0.045643619630718606,492.55256438198535,493.55256438198535,0.00037561211036518216,5.053331214091248
map_size_structure,100,maze_like,region_cache_patch_32,100,59.2,4.0,1.0,0.0,0.0004273900373664219,0.02731653248993098,10.019999999999996,0.1447558509101415,0.027223864980041982,293.7800423541364,294.7800423541364,0.0003347225274774246,4.612080737664963
map_size_structure,100,maze_like,region_cache_patch_64,100,59.72,4.0,1.0,0.0,0.0003894076682627201,0.03888597333010693,9.5,0.1372435712221901,0.038793305820217935,418.628987297564,419.628987297564,0.0002967401583737228,4.202202786383015
map_size_structure,100,narrow_corridor,manhattan_astar,100,1015.95,734.5,1.0,0.0,0.001494797450286569,0.001494797450286569,0.0,0.0,0.0,0.0,1.0,0.0,1.0
map_size_structure,100,narrow_corridor,full_map_unet_tiebreak,100,570.92,201.5,1.0,0.0,0.004536249570082873,0.024723600419820288,445.0300000000001,0.43804321078793257,0.02322880296953372,15.539766250658579,16.539766250658577,0.003041452119796304,3.0346918033698977
map_size_structure,100,narrow_corridor,region_cache_patch_32,100,524.72,182.5,1.0,0.0,0.003447022787077003,0.045117933820947656,491.23,0.4835178896599242,0.043623136370661085,29.18330932548624,30.183309325486242,0.001952225336790434,2.306013290574031
map_size_structure,100,narrow_corridor,region_cache_patch_64,100,547.53,196.5,1.0,0.0,0.0028611928582540714,0.055750821239926154,468.4200000000001,0.46106599734238896,0.05425602378963958,36.29657234111425,37.29657234111425,0.0013663954079675023,1.9141007082301011
map_size_structure,100,open_random,manhattan_astar,100,679.62,430.0,1.0,0.0,0.0009692007393459789,0.0009692007393459789,0.0,0.0,0.0,0.0,1.0,0.0,1.0
map_size_structure,100,open_random,full_map_unet_tiebreak,100,426.4,209.0,1.0,0.0,0.003454679169881274,0.04750956665993726,253.22000000000003,0.3725905653159119,0.046540365920591284,48.01932564764337,49.01932564764337,0.002485478430535295,3.564461962970135
map_size_structure,100,open_random,region_cache_patch_32,100,406.2,194.5,1.0,0.0,0.0025789814764721085,0.06607031833060319,273.42,0.4023130572967247,0.06510111759125721,67.16990087645594,68.16990087645594,0.0016097807371261296,2.660936348658191
map_size_structure,100,open_random,region_cache_patch_64,100,418.82,204.0,1.0,0.0,0.002394584477879107,0.0761598921197583,260.8,0.38374385686118717,0.07519069138041232,77.5801011368928,78.5801011368928,0.001425383738533128,2.4706795823277883
map_size_structure,500,bottleneck,manhattan_astar,100,40988.61,20694.0,1.0,0.0,0.07807551826001145,0.07807551826001145,0.0,0.0,0.0,0.0,1.0,0.0,1.0
map_size_structure,500,bottleneck,full_map_unet_tiebreak,100,29921.9,7984.0,1.0,0.0,0.35165716577976125,0.8832921570393956,11066.71,0.2699947619594809,0.8052166387793841,10.313305075962566,11.313305075962566,0.2735816475197498,4.504064444486335
map_size_structure,500,bottleneck,region_cache_patch_32,100,26607.34,5000.0,1.0,0.0,0.28224151592214186,1.7668571937898379,14381.27,0.35086015358900924,1.6887816755298264,21.630105225888496,22.630105225888496,0.2041659976621304,3.6149810108490783
map_size_structure,500,bottleneck,region_cache_patch_64,100,28846.57,6221.0,1.0,0.0,0.25125470756618595,1.4516804357898945,12142.04,0.29622961110415796,1.373604917529883,17.5932859383069,18.5932859383069,0.17317918930617449,3.2180984918914466
map_size_structure,500,large_block,manhattan_astar,100,29075.18,23531.0,1.0,0.0,0.05642117247989518,0.05642117247989518,0.0,0.0,0.0,0.0,1.0,0.0,1.0
map_size_structure,500,large_block,full_map_unet_tiebreak,100,15876.81,10518.0,1.0,0.0,0.43777543543023056,1.2785677175399905,13198.37,0.4539394081137245,1.2221465450600955,21.661133424612697,22.661133424612697,0.38135426295033537,7.759063064246408
map_size_structure,500,large_block,region_cache_patch_32,100,8069.59,1144.0,1.0,0.0,0.16368239174262272,0.7497876650295803,21005.59,0.722457780141,0.6933664925496851,12.28911881965508,13.28911881965508,0.10726121926272755,2.9010810046698063
map_size_structure,500,large_block,region_cache_patch_64,100,11313.45,3732.5,1.0,0.0,0.22063463158148808,1.0451548721107247,17761.73,0.6108897692120908,0.9887336996308295,17.524160810077984,18.524160810077984,0.1642134591015929,3.9104935591352317
map_size_structure,500,maze_like,manhattan_astar,100,4.7,4.0,1.0,0.0,1.775798955350183e-05,1.775798955350183e-05,0.0,0.0,0.0,0.0,1.0,0.0,1.0
map_size_structure,500,maze_like,full_map_unet_tiebreak,100,3.45,3.0,1.0,0.0,0.00011253662989474833,0.3273542757697578,1.25,0.26595744680851063,0.3273365177802043,18433.196888307346,18434.196888307346,9.47786403412465e-05,6.33723933419909
map_size_structure,500,maze_like,region_cache_patch_32,100,3.43,3.0,1.0,0.0,6.469676074630115e-05,0.009811239990231115,1.27,0.2702127659574468,0.009793482000677613,551.4972272717868,552.4972272717868,4.693877119279932e-05,3.6432480462600068
map_size_structure,500,maze_like,region_cache_patch_64,100,3.43,3.0,1.0,0.0,7.084501936333254e-05,0.02544280543959758,1.27,0.2702127659574468,0.025425047450044078,1431.752585135986,1432.752585135986,5.308702980983071e-05,3.9894729721452102
