case_id,map_size,structure_type,seed,obstacle_rate,grid_sha256,start,goal,optimal_cost,algorithm,path_found,path_cost,path_cost_gap,optimal,expanded_nodes,unet_call_count,unet_scored_node_count,cache_hit_count,cache_hit_rate,cached_region_count,patch_extraction_seconds,cache_lookup_seconds,unet_inference_seconds,full_map_inference_seconds,astar_search_seconds,total_runtime_seconds
size100_bottleneck_seed120460794,100,bottleneck,120460794,0.3,9a27b80a37198f89892868d942660f67a21c26da844368d3e765e8e7b7115e2f,"35,97","37,83",16,manhattan_astar,True,16,0,True,44,0,0,0,0.0,0,0.0,0.0,0.0,0.0,7.395799912046641e-05,7.395799912046641e-05
size100_bottleneck_seed120460795,100,bottleneck,120460795,0.4,035f466820365812c1fd27b80a531f7cbd65f6eb3ca77fd7e405d7d585808845,"72,80","67,84",9,manhattan_astar,True,9,0,True,30,0,0,0,0.0,0,0.0,0.0,0.0,0.0,5.008300649933517e-05,5.008300649933517e-05
size100_bottleneck_seed120460796,100,bottleneck,120460796,0.1,ada280f9ffd9dcff96c113e23cfd3275236f099a83304597f9bcb83121e12e45,"44,74","7,98",61,manhattan_astar,True,61,0,True,921,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.001422125002136454,0.001422125002136454
size100_bottleneck_seed120460797,100,bottleneck,120460797,0.2,930e1b1756b33a897c23cf1aed800c1be5b007e4b4fb10c27d3fe70383bcf957,"32,25","4,77",176,manhattan_astar,True,176,0,True,5696,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.008989249996375293,0.008989249996375293
size100_bottleneck_seed120460798,100,bottleneck,120460798,0.3,b7ed610f89d89364c8245442ad86df05bcd4b8aaa1199a48b7bddb21bda27a82,"83,48","52,40",39,manhattan_astar,True,39,0,True,180,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0002810419973684475,0.0002810419973684475
size100_bottleneck_seed120460799,100,bottleneck,120460799,0.4,7bf1b49075d4de5898d1327438d36a1db4f3edd419116b4797feda71bb352f29,"70,51","19,7",119,manhattan_astar,True,119,0,True,2482,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0038508750003529713,0.0038508750003529713
size100_bottleneck_seed120460800,100,bottleneck,120460800,0.1,bbe4637de42ef3812e4d4b7dee1b012ad390a6a8d4602d0a2c85c75826b05b1b,"80,56","77,96",43,manhattan_astar,True,43,0,True,162,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.00025887500669341534,0.00025887500669341534
size100_bottleneck_seed120460801,100,bottleneck,120460801,0.2,06d2698e3c1105a074db0bc2777691419da86ad6881b08e1b2aa935f4cf3ebf4,"74,92","94,59",53,manhattan_astar,True,53,0,True,703,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0013603749976027757,0.0013603749976027757
size100_bottleneck_seed120460802,100,bottleneck,120460802,0.3,8bcf8931bb5d6290eef7a6b79cc939ad5cef260e415043c524447db206651bbe,"43,37","78,63",131,manhattan_astar,True,131,0,True,4198,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0061649999988731,0.0061649999988731
size100_bottleneck_seed120460803,100,bottleneck,120460803,0.4,fa8d12d9f039a40b135ddfb22443422b43658357694acc880615d361a54df6ce,"81,65","67,1",170,manhattan_astar,True,170,0,True,3441,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.004866999996011145,0.004866999996011145
size100_bottleneck_seed120460804,100,bottleneck,120460804,0.1,fc930dd8ff428791a502491e90262d5852b450bc64b8adf7a66af6ac76b2a4d4,"22,52","7,14",177,manhattan_astar,True,177,0,True,5710,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.008390041999518871,0.008390041999518871
size100_bottleneck_seed120460805,100,bottleneck,120460805,0.2,3a4c0c8d7eeaaaa5e4706ba5ac91c2de0d8f89c89b70929a7eebee7458695740,"41,93","74,94",34,manhattan_astar,True,34,0,True,66,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.00013025000225752592,0.00013025000225752592
