model,index,map_type,obstacle_rate,mae,mse,expanded_nodes,optimal,tie_top1_correct,tie_top1_total,high_impact_events,high_impact_unet_ordering_errors
expanded,4728,bottleneck,0.2,0.6584972877015349,0.7886170750351525,9,True,6,6,0,0
expanded,4729,bottleneck,0.2,0.6631818545308519,0.8746773917213339,9,True,8,8,0,0
expanded,4730,bottleneck,0.2,0.33282607001193026,0.17252422356646685,8,True,7,7,0,0
expanded,4731,bottleneck,0.2,1.1727725944089005,3.313127699487986,11,True,0,0,0,0
expanded,4732,bottleneck,0.2,0.9640202136600718,1.7935699998335066,15,True,14,14,0,0
expanded,4733,bottleneck,0.2,1.0015901967803424,1.8448479769190966,9,True,8,8,0,0
expanded,4734,bottleneck,0.2,0.4634945060228854,0.3944815348254899,9,True,8,8,0,0
expanded,4735,bottleneck,0.2,0.6059135237047749,0.7297876767314911,9,True,8,8,0,0
expanded,4736,bottleneck,0.2,0.4040893655040628,0.2860790681937653,9,True,8,8,0,0
expanded,4737,bottleneck,0.2,0.4549277743665121,0.32664566268892115,8,True,7,7,0,0
expanded,4738,bottleneck,0.2,0.8430747585840503,1.2204990075385225,11,True,0,0,0,0
expanded,4739,bottleneck,0.2,0.4432430314764736,0.3153503514526985,12,True,11,11,0,0
expanded,4740,bottleneck,0.2,0.5229384522048794,0.48979956856519563,7,True,6,6,0,0
expanded,4741,bottleneck,0.2,0.5996353565200642,0.6624652701988665,13,True,0,0,0,0
expanded,4742,bottleneck,0.2,0.7317923692168382,1.0339283910512285,8,True,7,7,0,0
expanded,4743,bottleneck,0.2,0.4127367229075045,0.2929398358055147,13,True,12,12,0,0
expanded,4744,bottleneck,0.2,0.4457815030415853,0.3466150385565342,10,True,0,0,0,0
expanded,4745,bottleneck,0.2,0.48062246445045675,0.37437887857793994,11,True,10,10,0,0
expanded,4746,bottleneck,0.2,0.520994597752889,0.4723618780510279,12,True,11,11,0,0
expanded,4747,bottleneck,0.2,0.5263976140198419,0.4878343845876557,12,True,11,11,0,0
expanded,4748,bottleneck,0.2,0.6282454058527946,0.6107702131916244,12,True,11,11,0,0
expanded,4749,bottleneck,0.2,0.450566918527416,0.4250296771931376,10,True,9,9,0,0
expanded,4750,bottleneck,0.3,1.0088424071417017,1.6304760465107786,13,True,12,12,0,0
expanded,4751,bottleneck,0.3,0.5606289783228074,0.6147354768728462,12,True,11,11,0,0
expanded,4752,bottleneck,0.3,0.9017142152055725,1.6834067979060627,10,True,0,0,0,0
expanded,4753,bottleneck,0.3,0.6465715967410104,0.9551204937253708,11,True,7,7,0,0
expanded,4754,bottleneck,0.3,0.6959179107037337,0.6304423970788964,15,True,12,13,0,0
expanded,4755,bottleneck,0.3,1.3661369484877652,4.002776318934138,13,True,12,12,0,0
expanded,4756,bottleneck,0.3,0.5270549993166763,0.48698700616106894,12,True,11,11,0,0
expanded,4757,bottleneck,0.3,0.7471543764800168,0.8990526401105702,11,True,10,10,0,0
expanded,4758,bottleneck,0.3,0.6020312107808097,0.9347566917784332,9,True,8,8,0,0
expanded,4759,bottleneck,0.3,0.35255843064205794,0.17808476775967785,6,True,0,0,0,0
expanded,4760,bottleneck,0.3,0.4186277616986989,0.3714778724581893,8,True,7,7,0,0
expanded,4761,bottleneck,0.3,1.3435203444562565,3.1292686559231178,13,True,12,12,0,0
expanded,4762,bottleneck,0.3,1.0143707212102546,2.147346568226953,14,True,11,13,0,0
expanded,4763,bottleneck,0.3,0.9504491297226378,2.279149803595826,12,True,11,11,0,0
expanded,4764,bottleneck,0.3,0.7500682446318613,1.1899977497359555,13,True,12,12,0,0
expanded,4765,bottleneck,0.3,0.6530931935668988,0.7284852461869353,10,True,9,9,0,0
expanded,4766,bottleneck,0.3,0.8393229013048736,1.387396581215166,9,True,8,8,0,0
expanded,4767,bottleneck,0.3,0.49155576161935294,0.4913494853028542,9,True,8,8,0,0
expanded,4768,bottleneck,0.3,0.6537901176383568,0.884396532731075,13,True,12,12,0,0
expanded,4769,bottleneck,0.3,0.9980273198883289,1.8550799746614293,11,True,10,10,0,0
expanded,4770,bottleneck,0.3,1.0251025747549667,1.608426696733919,16,True,10,10,0,0
expanded,4771,bottleneck,0.3,0.6256597022270562,0.7989035345414772,15,True,14,14,0,0
expanded,4772,bottleneck,0.3,0.5332548544231781,0.5437318661037162,8,True,7,7,0,0
expanded,4773,bottleneck,0.3,0.7460144768270214,1.1251200780762844,9,True,8,8,0,0
expanded,4774,bottleneck,0.3,1.239799239448995,3.3961494839729633,9,True,8,8,0,0
expanded,4775,bottleneck,0.4,0.6246521183326419,0.6821280791281377,13,True,12,12,0,0
expanded,4776,bottleneck,0.4,0.5719044462579196,0.5526052999996586,8,True,7,7,0,0
expanded,4777,bottleneck,0.4,0.6976959029612103,1.1877878874925345,14,True,6,6,0,0
expanded,4778,bottleneck,0.4,1.1598753871890786,2.358636530215055,10,True,5,5,0,0
expanded,4779,bottleneck,0.4,0.4783753713872548,0.39631397501979754,10,True,9,9,0,0
expanded,4780,bottleneck,0.4,0.5748448085389744,0.5713357170632128,15,True,12,12,0,0
expanded,4781,bottleneck,0.4,3.5827744567058457,20.593180492979254,12,True,11,11,0,0
expanded,4782,bottleneck,0.4,0.5912406219153845,0.7803406348482694,10,True,9,9,0,0
expanded,4783,bottleneck,0.4,0.8848413122943574,2.1083571479527405,7,True,6,6,0,0
expanded,4784,bottleneck,0.4,0.7280900017781691,0.9313451920005712,13,True,12,12,0,0
expanded,4785,bottleneck,0.4,0.7796560185056337,0.9479511493949139,10,True,9,9,0,0
expanded,4786,bottleneck,0.4,0.5401357507231224,0.6285210415418448,6,True,5,5,0,0
expanded,4787,bottleneck,0.4,1.0875570015168525,1.9081902437064977,11,True,10,10,0,0
expanded,4788,bottleneck,0.4,0.9037870804690782,1.3573724533040792,13,True,12,12,0,0
expanded,4789,bottleneck,0.4,0.6988723724655955,0.8763573935206559,10,True,0,0,0,0
expanded,4790,bottleneck,0.4,0.6263195997712636,1.6797119002204703,7,True,0,0,0,0
expanded,4791,bottleneck,0.4,1.8993303178061902,5.067688297521351,22,True,12,16,0,0
expanded,4792,bottleneck,0.4,0.39848645548746375,0.32891337370565954,6,True,5,5,0,0
expanded,4793,bottleneck,0.4,1.1090996353214253,2.2230488545287264,10,True,9,9,0,0
expanded,4794,bottleneck,0.4,0.775589738166734,1.3125404475236726,9,True,8,8,0,0
expanded,4795,bottleneck,0.4,0.5920866504521437,0.5143143354657895,13,True,12,12,0,0
expanded,4796,bottleneck,0.4,0.5290045807059383,0.533835423477767,9,True,8,8,0,0
expanded,4797,bottleneck,0.4,0.5538134130844072,0.6472941319353912,10,True,9,9,0,0
expanded,4798,bottleneck,0.4,0.5081135926112322,0.4717380026551576,11,True,10,10,0,0
expanded,4799,bottleneck,0.4,0.6844303873406739,0.9242984670475707,9,True,8,8,0,0
expanded,4800,maze_like,0.1,1.803987097687426,4.8875182575132765,14,True,11,11,0,0
expanded,4801,maze_like,0.1,1.049102165883985,2.9141584648594225,14,True,12,12,0,0
expanded,4802,maze_like,0.1,1.3038282896590045,2.809492652805567,28,True,23,25,0,0
expanded,4803,maze_like,0.1,1.4570917483197143,3.5491279423961424,12,True,0,0,0,0
expanded,4804,maze_like,0.1,2.2385395530304173,14.76635995376446,18,True,13,13,0,0
expanded,4805,maze_like,0.1,4.40911172880494,34.3491757240141,52,True,20,41,0,0
expanded,4806,maze_like,0.1,3.810142434419018,34.4247085211184,25,True,18,19,0,0
expanded,4807,maze_like,0.1,3.4644138503730093,32.06038750014595,11,True,10,10,0,0
expanded,4808,maze_like,0.1,2.6576250472239087,24.476515602854903,4,True,0,0,0,0
expanded,4809,maze_like,0.1,2.5302901142646395,10.66602146265925,12,True,11,11,0,0
expanded,4810,maze_like,0.1,1.945048196874436,10.44107154985206,12,True,7,7,0,0
expanded,4811,maze_like,0.1,1.5655871819851646,3.865900508580466,16,True,13,13,0,0
expanded,4812,maze_like,0.1,0.7552377730607986,0.9357656304105483,2,True,0,0,0,0
expanded,4813,maze_like,0.1,1.2165013071029418,2.397366970433742,11,True,10,10,0,0
expanded,4814,maze_like,0.1,1.6307518066417785,4.292109565267974,15,True,12,12,0,0
expanded,4815,maze_like,0.1,1.5135353991859837,3.48124755215081,10,True,9,9,0,0
expanded,4816,maze_like,0.1,1.1099384238845424,3.1184998803696056,4,True,3,3,0,0
expanded,4817,maze_like,0.1,1.5907751889163275,5.428020805212098,16,True,12,12,0,0
expanded,4818,maze_like,0.1,4.427205172609793,85.8172363837127,11,True,10,10,0,0
expanded,4819,maze_like,0.1,1.6597921080589295,5.037106368004194,10,True,7,7,0,0
expanded,4820,maze_like,0.1,1.225607785367474,3.0537213410410127,36,True,26,32,0,0
